"Spring Data Commons 프로젝트는 무엇을 하는 프로젝트인가요?","Spring Data Commons 프로젝트는 핵심 Spring 개념을 적용하여 많은 관계형 및 비관계형 데이터 저장소를 사용하는 솔루션 개발에 적용됩니다. (출처: https://docs.spring.io/spring-data/commons/reference/3.3/index.html)"
"Spring Data Commons의 버전은 어떻게 확인할 수 있나요?","Spring Data Commons의 버전은 GitHub 저장소(https://github.com/spring-projects/spring-data-commons)에서 확인할 수 있습니다. (출처: https://docs.spring.io/spring-data/commons/reference/3.3/index.html)"
"Spring Data Commons의 스냅샷 저장소는 어디인가요?","Spring Data Commons의 스냅샷 저장소는 repo.spring.io/snapshot/입니다. (출처: https://docs.spring.io/spring-data/commons/reference/3.3/index.html)"
"스프링 데이터 모듈의 호환 가능한 버전을 어떻게 찾을 수 있나요?","스프링 데이터 릴리스 트레인 BOM을 사용하여 호환 가능한 버전을 찾을 수 있습니다. 이 BOM은 호환 가능한 버전이 정의되어 있으며, Maven 프로젝트에서는 POM의 <dependencyManagement /> 섹션에 다음과 같이 이 종속성을 선언합니다. <dependency> <groupId>org.springframework.data</groupId> <artifactId>spring-data-bom</artifactId> <version>2024.0.4</version> <scope>import</scope> <type>pom</type> </dependency> 현재 릴리스 트레인 버전은 2024.0.4입니다. train 버전은 calver(https://calver.org/)를 사용하며, 패턴은 YYYY.MINOR.MICRO입니다. 자세한 내용은 <https://docs.spring.io/spring-data/commons/reference/3.3/dependencies.html>을(를) 참조하십시오."
"Maven 프로젝트에서 Spring Data 릴리스 트레인 BOM을 어떻게 사용하나요?","Maven 프로젝트에서 Spring Data 릴리스 트레인 BOM을 사용하려면, POM의 <dependencyManagement /> 섹션에 이 종속성을 선언합니다. <dependency> <groupId>org.springframework.data</groupId> <artifactId>spring-data-bom</artifactId> <version>2024.0.4</version> <scope>import</scope> <type>pom</type> </dependency> 그런 다음, <dependencies /> 블록에서 버전 없이 사용하려는 Spring Data 모듈을 선언할 수 있습니다. 자세한 내용은 <https://docs.spring.io/spring-data/commons/reference/3.3/dependencies.html>을(를) 참조하십시오."
"Maven 프로젝트에서 Spring Data 릴리스 트레인 BOM을 사용하는 예제를 어디에서 찾을 수 있나요?","Maven 프로젝트에서 Spring Data 릴리스 트레인 BOM을 사용하는 예제는 Spring Data examples 저장소의 bom 디렉토리에서 찾을 수 있습니다. 자세한 내용은 <https://github.com/spring-projects/spring-data-examples/tree/main/bom>을(를) 참조하십시오."
"Spring Data를 업그레이드하는 방법은 무엇인가요?","Spring Data를 업그레이드하는 방법은 Spring Data Commons 프로젝트의 위키(https://github.com/spring-projects/spring-data-commons/wiki)에서 확인할 수 있습니다. 릴리스 노트 섹션(https://github.com/spring-projects/spring-data-commons/wiki#release-notes)에서 원하는 버전으로 업그레이드하는 방법을 찾을 수 있습니다. 업그레이드 지침은 항상 릴리스 노트의 첫 번째 항목입니다. 한 개 이상의 릴리스를 건너뛴 경우, 건너뛴 버전의 릴리스 노트도 검토해야 합니다."
"Spring Data를 업그레이드하기 위한 구체적인 지침은 어디에 있나요?","Spring Data를 업그레이드하기 위한 구체적인 지침은 Spring Data Commons 프로젝트의 위키(https://github.com/spring-projects/spring-data-commons/wiki)에서 확인할 수 있습니다. 릴리스 노트 섹션(https://github.com/spring-projects/spring-data-commons/wiki#release-notes)에서 원하는 버전으로 업그레이드하는 방법을 찾을 수 있습니다."
"Spring Data를 업그레이드할 때 이전 버전의 릴리스 노트를 검토해야 하나요?","네, Spring Data를 업그레이드할 때 한 개 이상의 릴리스를 건너뛴 경우, 건너뛴 버전의 릴리스 노트도 검토해야 합니다. 이는 업그레이드 과정에서 발생할 수 있는 문제를 방지하기 위해 도움이 됩니다."
"스프링 데이터에서 객체 매핑의 핵심 책임은 무엇인가요?","스프링 데이터에서 객체 매핑의 핵심 책임은 도메인 객체의 인스턴스를 생성하고, 스토어 네이티브 데이터 구조를 해당 객체에 매핑하는 것입니다. (출처: https://docs.spring.io/spring-data/commons/reference/3.3/object-mapping.html)"
